id,lease_company,lease_period,module_output,module_manufacturer,module_model,module_count,pcs_manufacturer,pcs_model,pcs_count,pcs_model2,pcs_count2,module_pcs_cable_count,bifurcated_count,bracket_count,installation,total_module_output,application_power_output,region,roof_material,installation_points,monthly_lease_fee_10,monthly_lease_fee_15,total_lease_amount,customer_group,application_code
69,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,9,デルタ電子,H4J_220,1,H6J_240,,2,,1,,3.6,3.6,通常,立平葺,6点,7359,5104,1189320,直販,C8MA09X6
70,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,9,デルタ電子,H4J_220,1,H6J_240,,2,,1,,3.6,3.6,通常,立平葺,8点,7458,5170,1205160,直販,C8MA09X8
71,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,10,デルタ電子,H4J_220,1,H6J_240,,2,,1,,4,4,通常,立平葺,6点,7326,5082,1184040,直販,C8MA10X6
72,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,10,デルタ電子,H4J_220,1,H6J_240,,2,,1,,4,4,通常,立平葺,8点,7436,5159,1201860,直販,C8MA10X8
73,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,11,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,4.4,4,通常,立平葺,6点,8052,5588,1301520,直販,C8MA11X6
74,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,11,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,4.4,4,通常,立平葺,8点,8184,5676,1322640,直販,C8MA11X8
75,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,12,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,4.8,4,通常,立平葺,6点,8789,6094,1420320,直販,C8MA12X6
76,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,12,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,4.8,4,通常,立平葺,8点,8932,6193,1443420,直販,C8MA12X8
77,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,13,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,5.2,4,通常,立平葺,6点,9515,6600,1537800,直販,C8MA13X6
78,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,13,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,5.2,4,通常,立平葺,8点,9669,6710,1562880,直販,C8MA13X8
79,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,14,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,5.6,4,通常,立平葺,6点,10252,7106,1656600,直販,C8MA14X6
80,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,14,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,5.6,4,通常,立平葺,8点,10417,7216,1683000,直販,C8MA14X8
81,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,15,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,6,4,通常,立平葺,6点,10164,7051,1642740,直販,C8MA15X6
82,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,15,デルタ電子,H4J_220,1,H6J_240,,3,1,1,,6,4,通常,立平葺,8点,10340,7172,1671120,直販,C8MA15X8
83,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,16,デルタ電子,H4J_220,,H6J_240,1,4,,1,,6.4,5.9,通常,立平葺,6点,10846,7524,1752960,直販,C8MA16X6
84,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,16,デルタ電子,H4J_220,,H6J_240,1,4,,1,,6.4,5.9,通常,立平葺,8点,11033,7645,1782660,直販,C8MA16X8
85,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,17,デルタ電子,H4J_220,,H6J_240,1,4,,1,,6.8,5.9,通常,立平葺,6点,11528,7986,1862520,直販,C8MA17X6
86,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,17,デルタ電子,H4J_220,,H6J_240,1,4,,1,,6.8,5.9,通常,立平葺,8点,11726,8129,1894860,直販,C8MA17X8
87,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,18,デルタ電子,H4J_220,,H6J_240,1,4,,1,,7.2,5.9,通常,立平葺,6点,12199,8459,1971420,直販,C8MA18X6
88,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,18,デルタ電子,H4J_220,,H6J_240,1,4,,1,,7.2,5.9,通常,立平葺,8点,12408,8602,2005080,直販,C8MA18X8
89,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,19,デルタ電子,H4J_220,,H6J_240,1,4,,1,,7.6,5.9,通常,立平葺,6点,12881,8932,2081640,直販,C8MA19X6
90,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,19,デルタ電子,H4J_220,,H6J_240,1,4,,1,,7.6,5.9,通常,立平葺,8点,13101,9086,2117280,直販,C8MA19X8
91,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,20,デルタ電子,H4J_220,,H6J_240,1,4,,1,,8,5.9,通常,立平葺,6点,13167,9130,2127840,直販,C8MA20X6
92,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,20,デルタ電子,H4J_220,,H6J_240,1,4,,1,,8,5.9,通常,立平葺,8点,13398,9295,2165460,直販,C8MA20X8
93,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,21,デルタ電子,H4J_220,,H6J_240,1,5,1,1,,8.4,5.9,通常,立平葺,6点,13827,9592,2234760,直販,C8MA21X6
94,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,21,デルタ電子,H4J_220,,H6J_240,1,5,1,1,,8.4,5.9,通常,立平葺,8点,14069,9757,2273700,直販,C8MA21X8
95,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,22,デルタ電子,H4J_220,,H6J_240,1,5,1,1,,8.8,5.9,通常,立平葺,6点,14487,10043,2341020,直販,C8MA22X6
96,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,22,デルタ電子,H4J_220,,H6J_240,1,5,1,1,,8.8,5.9,通常,立平葺,8点,14740,10219,2381940,直販,C8MA22X8
97,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,23,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,9.2,8,通常,立平葺,6点,15147,10505,2447940,直販,C8MA23X6
98,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,23,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,9.2,8,通常,立平葺,8点,15411,10681,2490180,直販,C8MA23X8
99,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,24,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,9.6,8,通常,立平葺,6点,15807,10956,2554200,直販,C8MA24X6
